SET (our board)	KC TAB	LOCATION	ADDRESS	CONTACT	PHONE	EMAIL	NOTES	ALBUM	GRADES	LINK
Willow Reader Cottage	READER COTTAGE	Peerspace listing — 65c51333b7519f000e47b38c					exterior			https://www.peerspace.com/pages/listings/65c51333b7519f000e47b38c
Willow Reader Cottage	READER COTTAGE	(Buildings of New England post)					no idea what inside looks like			https://buildingsofnewengland.com/2024/05/06/haven-avenue-cottages-c-1877/
Willow Reader Cottage	READER COTTAGE	On-I-Set Wigwam, Onset					no idea what inside looks like			https://www.onisetwigwam.com/
Willow Reader Cottage	READER COTTAGE	Airbnb listing — 29340046								https://www.airbnb.com/rooms/29340046?source_impression_id=p3_1786215877_P3R6yK3WzeNFW39y
Willow Reader Cottage	READER COTTAGE		54 State Street, 2nd Floor, Newburyport, MA 01950		Phone: 978-463-5424	DINA				
Marrero Residence	MARREROS	Fairbanks House, Dedham								https://www.fairbankshouse.org/
Marrero Residence	MARREROS	Queset House, N. Easton								https://amesfreelibrary.org/queset-house
Marrero Residence	MARREROS	VRBO listing — 5292103								https://www.vrbo.com/5292103?chkin=2026-10-27&chkout=2026-10-29&d1=2026-10-27&d2=2026-10-29&startDate=2026-10-27&endDate=2026-10-29&flexibility=2_DAY_LOWER&flexibility=3_DAY_UPPER&searchRange=2026-10-01_2026-10-31&x_pwa=1&rfrr=HSR&pwa_ts=1786147496564&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=false&adults=2&regionId=8198&destination=Ipswich%2C%20Massachusetts%2C%20United%20States%20of%20America&destType=MARKET&latLong=42.679184%2C-70.841156&searchId=a184307b-08ee-4ae9-b13e-d9038858d261&sort=RECOMMENDED&top_dp=349&top_cur=USD&semcid=VRBO-US.UB.GOOGLE.DT-c-EN.VR&semdtl=a112250887543.b1116877208506.g1kwd-539738293164.e1c.m1CjwKCAjwhNbTBhB4EiwAsFSg-jBgeXWeYbYj5vxvvdh_gqKgXwkVPWZ3OIMUJSdBGDWngKUvHq_ggBoCV98QAvD_BwE.r197de9daeddc0f6289318d8e30de59160279a2a7a26ea6e70891920784ee5b9da.c1.j19031187.k1.d1723388107351.h1e.i1.l1.n1.o1.p1.q1.s1rockport%20massachusetts%20vacation%20cottages.t1.x1.f1.u1.v1.w1&userIntent=&selectedRoomType=131743199&selectedRatePlan=000444f098f3db754a9db2f5fd3af4dda477&expediaPropertyId=131743199&pwaThumbnailDialog=thumbnail-gallery
Marrero Residence	MARREROS	VRBO listing — 9489466ha								https://www.vrbo.com/9489466ha?chkin=2026-10-26&chkout=2026-10-28&d1=2026-10-26&d2=2026-10-28&startDate=2026-10-26&endDate=2026-10-28&flexibility=2_DAY_LOWER&flexibility=3_DAY_UPPER&searchRange=2026-10-01_2026-10-31&x_pwa=1&rfrr=HSR&pwa_ts=1786147005967&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=false&adults=2&regionId=8198&destination=Ipswich%2C%20Massachusetts%2C%20United%20States%20of%20America&destType=MARKET&latLong=42.679184%2C-70.841156&searchId=a184307b-08ee-4ae9-b13e-d9038858d261&sort=RECOMMENDED&top_dp=424&top_cur=USD&semcid=VRBO-US.UB.GOOGLE.DT-c-EN.VR&semdtl=a112250887543.b1116877208506.g1kwd-539738293164.e1c.m1CjwKCAjwhNbTBhB4EiwAsFSg-jBgeXWeYbYj5vxvvdh_gqKgXwkVPWZ3OIMUJSdBGDWngKUvHq_ggBoCV98QAvD_BwE.r197de9daeddc0f6289318d8e30de59160279a2a7a26ea6e70891920784ee5b9da.c1.j19031187.k1.d1723388107351.h1e.i1.l1.n1.o1.p1.q1.s1rockport%20massachusetts%20vacation%20cottages.t1.x1.f1.u1.v1.w1&userIntent=&selectedRoomType=57347077&selectedRatePlan=00000df69efa3fbe423b91d2ff3f93868ce5&expediaPropertyId=57347077&pwaThumbnailDialog=thumbnail-gallery
Abandoned Park	ABANDONED PARK	(cinema treasures listing)								https://cinematreasures.org/theaters/31764
Sandra's House (Boston)	SANDRAS HOUSE	VRBO listing — 7180532ha								https://www.vrbo.com/7180532ha?utm_source=chatgpt.com
Black Willow Academy	BWA	Noble & Greenough School, Dedham								https://www.nobles.edu/admission/tuition-financial-aid/
Black Willow Academy	BWA	🔎 Thayer Academy, Braintree								https://www.google.com/search?q=Thayer+Academy%2C+Braintree&rlz=1C5GCEA_enUS867US867&oq=Thayer+Academy%2C+Braintree&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTINCAEQLhivARjHARiABDIICAIQABgWGB4yCAgDEAAYFhgeMggIBBAAGBYYHjILCAUQABgWGB4YiwMyCwgGEAAYFhgeGIsDMgsIBxAAGBYYHhiLAzILCAgQABgWGB4YiwPSAQc3MjJqMWo3qAIIsAIB8QXHRvCMRcrlDw&sourceid=chrome&source=chrome.ob&ie=UTF-8#lpg=cid:CgIgAQ%3D%3D,ik:CAoSF0NJSE0wb2dLRUlDQWdJRFY1XzNyNndF
Black Willow Academy	BWA	MA Film Office listing #10307771	Edward F. Searles Estate							https://ma.reel-scout.com/loc_detail.aspx?parent=loc_results.aspx&id=10307771&cid=65&page=1&alpha=&search=&subcat=9046
Black Willow Academy	BWA	🔎 crane estate	Crane Estate							https://www.google.com/search?q=crane+estate&rlz=1C5CHFA_enUS703US703&oq=crane+estate&gs_lcrp=EgZjaHJvbWUqBwgAEAAYjwIyBwgAEAAYjwIyCggBEC4YsQMYgAQyEwgCEC4YrwEYxwEYkQIYgAQYigUyDAgDEAAYQxiABBiKBTIKCAQQABiLAxiABDIGCAUQRRg8MgYIBhBFGDwyBggHEEUYPNIBCDI4MTZqMWo3qAIAsAIA&sourceid=chrome&source=chrome.ob&ie=UTF-8
Black Willow Academy	BWA	Misselwood Estate, Beverly	Misselwood							https://misselwood.endicott.edu/
Black Willow Academy	BWA	Hammond Castle, Gloucester	hammond castle	(978) 283-2080						https://hammondcastle.org/
Black Willow Academy	BWA	MA Film Office listing #3730754								https://ma.reel-scout.com/mosaic.aspx?lid=10142789&id=3730754&cid=65&pid=
Black Willow Academy	BWA	MA Film Office listing #10142789								https://ma.reel-scout.com/loc_detail.aspx?parent=loc_results.aspx&id=10142789&cid=65&page=3&alpha=&search=&subcat=9046
Airbnb (Boston)	AIR BNB BOSTON	VRBO listing — 1874020								https://www.vrbo.com/1874020?chkin=2026-10-05&chkout=2026-10-07&d1=2026-10-05&d2=2026-10-07&startDate=2026-10-05&endDate=2026-10-07&flexibility=2_DAY_LOWER&flexibility=3_DAY_UPPER&searchRange=2026-10-01_2026-10-31&x_pwa=1&rfrr=HSR&pwa_ts=1786147005896&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=false&adults=2&regionId=8198&destination=Ipswich%2C%20Massachusetts%2C%20United%20States%20of%20America&destType=MARKET&latLong=42.679184%2C-70.841156&searchId=a184307b-08ee-4ae9-b13e-d9038858d261&sort=RECOMMENDED&top_dp=315&top_cur=USD&semcid=VRBO-US.UB.GOOGLE.DT-c-EN.VR&semdtl=a112250887543.b1116877208506.g1kwd-539738293164.e1c.m1CjwKCAjwhNbTBhB4EiwAsFSg-jBgeXWeYbYj5vxvvdh_gqKgXwkVPWZ3OIMUJSdBGDWngKUvHq_ggBoCV98QAvD_BwE.r197de9daeddc0f6289318d8e30de59160279a2a7a26ea6e70891920784ee5b9da.c1.j19031187.k1.d1723388107351.h1e.i1.l1.n1.o1.p1.q1.s1rockport%20massachusetts%20vacation%20cottages.t1.x1.f1.u1.v1.w1&userIntent=&selectedRoomType=45737952&selectedRatePlan=000465b7bd006e0a4c61b1026897c73823ec&expediaPropertyId=45737952&pwaThumbnailDialog=thumbnail-gallery
Airbnb (Boston)	AIR BNB BOSTON	TripAdvisor listing — Hotel_Review-g41706-d115979-Reviews-Cl								https://www.tripadvisor.com/Hotel_Review-g41706-d115979-Reviews-Clark_Currier_Inn-Newburyport_Massachusetts.html#/media/115979/?type=ALL_INCLUDING_RESTRICTED&albumid=101&category=101
Airbnb (Boston)	AIR BNB BOSTON	Airbnb listing — 773226132397332627								https://www.airbnb.com/rooms/773226132397332627?utm_source=chatgpt.com&source_impression_id=p3_1786233191_P36xx6k_HFT6APuo
